country,population,gdp_per_cap14,resource_rents,gdp_per_cap00,debt_to_gdp
Angola,26941779,3843.1982409999996,23.38192979,556.8363181,40.676
United Arab Emirates,9214175,38495.04635,24.24950666,33291.419369999996,15.537
Burundi,9844297,245.32673870000002,17.03331418,136.4639708,35.772
Benin,10286842,834.4435963999999,4.872944942,374.19239419999997,30.451999999999998
Burkina Faso,17586017,639.7080956,16.98160287,226.47598140000002,30.386999999999997
Bahrain,1336075,22395.30603,8.612222765,13636.39623,44.397
Botswana,2088614,7864.253281,2.516288978,3522.3086780000003,17.346
Central African Republic,4464175,334.1145508,12.36093148,251.20687740000002,69.16199999999999
Cote D'Ivoire,22647683,1377.796563,6.17522542,651.3059068,44.79
Cameroon,22681858,1400.387017,7.981233631,649.9918454,21.534000000000002
Democratic Republic of Congo,73767447,397.3416705,35.37516398,405.216253,17.51
Congo,4736974,3005.7369120000003,40.06206864,1029.577037,47.605
Comoros,759390,1369.176631,1.90318903,645.8186908,22.596999999999998
Cabo Verde,518269,3422.7488020000005,0.608516356,1259.323656,115.92399999999999
Djibouti,898696,1595.15,1.167580675,768.1760767000001,38.811
Algeria,38923687,4702.0917,24.602722399999998,1764.8882219999998,7.672999999999999
Egypt,90424654,2648.2941690000002,8.664097598,1450.476242,85.12700000000001
Eritrea,4475000,467.0,19.1,308.1337836,128.674
Ethiopia,98094253,449.42037710000005,13.11050205,124.4608003,46.802
Gabon,1883800,9467.363786,27.12381411,4125.7166640000005,34.063
Ghana,27224472,1626.622783,14.12864056,258.4709595,70.157
Guinea,11150977,741.0381352,17.11588571,363.482479,35.09
Gambia,2024042,747.7087319,5.77778113,594.1516429999999,104.889
Guinea-Bissau,1692439,555.6050487000001,17.89642717,308.1441193,54.856
Equatorial Guinea,1122276,16130.336369999999,30.90123273,1725.5547379999998,12.720999999999998
Iran,77465753,6236.289411,27.2239117,1670.00947,11.825999999999999
Iraq,34411951,5344.331964,45.62957543,1100.0,32.028
Israel,8215700,32977.960869999995,0.292944765,21043.574930000002,66.094
Jordan,8920049,3353.623382,1.034977368,1674.825261,89.04899999999999
Kenya,46699981,1060.095016,2.773411054,397.4826588,48.56399999999999
Kuwait,3690942,37158.7342,55.14521208,18440.37852,3.429
Lebanon,6262410,6649.213772,0.002215635,4491.637259,139.158
Liberia,4359505,586.2293607999999,32.32033198,306.8328947,21.631999999999998
Libya,6362037,6530.856715,42.13791202,7142.774452,36.39
Lesotho,2043437,1389.875532,4.942003027,436.48835199999996,36.801
Morocco,34192347,3125.0794809999998,2.0634716230000003,1334.943051,63.339
Madagascar,23589887,468.11300080000007,11.22439775,245.9390659,34.650999999999996
Mali,16934220,706.981554,11.43790898,269.87113769999996,27.276999999999997
Mozambique,26286163,558.2093443,13.56366262,313.5680341,62.371
Mauritania,3930896,1369.187945,31.0318372,491.8427617,80.361
Mauritius,1260934,9163.633473,0.0012006319999999999,3929.0754950000005,57.543
Malawi,16289540,507.537975,9.303725013,156.3857186,55.24
Namibia,2273430,6154.488886,2.563181623,2136.440243,25.189
Niger,19240157,384.9006562,13.77054788,158.7049748,31.976
Nigeria,176404902,2563.899969,10.3209233,567.930736,13.072000000000001
Oman,4027260,16884.28341,39.66096088,8601.25417,4.925
Palestine,4173398,2603.521014,0.0,1476.17185,17.4
Qatar,2459198,65560.3754,30.55410527,29976.117039999997,24.912
Rwanda,11083635,688.2121987,6.398810833,218.68016269999998,29.131
Saudi Arabia,30916994,21087.35441,41.24338343,9171.330145,1.5619999999999998
Sudan,37977655,1825.5410370000002,6.5660179979999995,366.17280760000006,56.005
Senegal,14174731,1337.40669,3.750716816,604.6540660000001,54.461999999999996
Sierra Leone,7017144,567.834267,36.45601993,138.69869219999998,34.966
Somalia,13423576,486.08,13.28542439,185.0,41.69
South Sudan,10554883,831.8504616,24.10417281,9171.330145,38.339
Sao Tome and Principe,195727,1213.164082,2.957771713,1062.49,69.553
Swaziland,1095021,4578.288570000001,3.547631688,1728.705335,14.279000000000002
Syria,18715672,3300.0,21.6,1177.629268,30.01
Chad,13663559,960.4409199999999,20.05245176,165.7629866,41.545
Togo,7137997,611.5350691000001,20.89358287,302.2063943,60.446999999999996
Tunisia,11063201,4302.486543999999,4.86519578,2211.826817,51.56100000000001
Turkey,77231907,13277.76077,0.41634672,4316.548908,28.769000000000002
Tanzania,49959822,846.3868415,6.222038700000001,410.9523276,33.795
Uganda,36912148,676.3376331000001,11.61607516,261.8689977,30.798000000000002
Yemen,25823485,1119.147493,12.74950126,554.4486334,48.722
South Africa,54545991,7582.696929000001,5.787663842000001,3032.427138,46.985
Zambia,15399753,1644.10679,15.41524906,345.68955439999996,36.137
Zimbabwe,13586681,1232.864865,6.999526793999999,563.0577411,49.604
