country_name,usaid_totals
Algeria,247662135
Angola,2939892764
Bahrain,900204738
Benin,1785450859
Botswana,2141446815
British Indian Ocean Territory,24524
Burkina Faso,2048434303
Burundi,1500181372
Cabo Verde,527552607
Cameroon,634685423
Central African Republic,552390712
Chad,2885399950
Comoros,11242948
Congo,243388741
Cote D'Ivoire,1851870076
Democratic Republic of Congo,6982450241
Djibouti,474107681
East and South Africa Region,5840075
Eastern Africa Region,951431732
Eastern and Central Africa Region,226340
Egypt,61292723074
Equatorial Guinea,5080444
Eritrea,1028386667
Ethiopia,19011912049
Gabon,100394128
Gambia,139231178
Ghana,4463691468
Guinea,1347824544
Guinea-Bissau,152051680
Iran,63865441
Iraq,134309996149
Israel,102054103330
Jordan,25817999407
Kenya,15133681529
Kuwait,8617661
Lebanon,4989869352
Lesotho,1388199091
Liberia,4512835291
Libya,950008484
Madagascar,2095127322
Malawi,4089349108
Mali,4318933048
Mauritania,674582555
Mauritius,24387198
Middle East Region,771832004
Middle East and North Africa Region,6536875236
Morocco,3366876290
Mozambique,8185871492
Namibia,2659015595
Niger,1784885420
Nigeria,9655778996
North Africa Region,45209646
Oman,885517811
Palestine,13369537056
Qatar,18859773
Rwanda,3652477663
Sao Tome and Principe,38847671
Saudi Arabia,20942632
Senegal,3656034159
Seychelles,20062006
Sierra Leone,1099909432
Somalia,5911541821
South Africa,10589592482
South Sudan,4261786181
Southern Africa Region,2538955299
Sub-Saharan Africa Region,17390902586
Sudan,19230956604
Swaziland,540913051
Syria,3572409396
Tanzania,9664758636
Togo,147229954
Tunisia,1054238685
Turkey,1776648160
Uganda,10329016904
United Arab Emirates,37945421
West Africa Region,1926273399
Western (Spanish) Sahara,2418950
Yemen,2939500773
Zambia,6452866404
Zimbabwe,3928401491
